count_locations,count_time,counters,total_bike,female_bike,male_bike,total_ped,female_ped,male_ped,other,female_bike_helmet_sidewalk,female_bike_nohelmet_sidewalk,female_bike_helmet_nosidewalk,female_bike_nohelmet_nosidewalk,female_bike_helmet,female_bike_nohelmet,female_bike_sidewalk,female_bike_nosidewalk,male_bike_helmet_sidewalk,male_bike_nohelmet_sidewalk,male_bike_helmet_nosidewalk,male_bike_nohelmet_nosidewalk,male_bike_helmet,male_bike_nohelmet,male_bike_sidewalk,male_bike_nosidewalk
1,1,13,187,47,140,204,119,85,1,,,,,,,,,,,,,,,,
1,3,33,164,38,126,170,84,86,3,,,,,24,14,,,,,,,83,43,,
1,4,33,175,37,138,246,115,131,2,,,,,27,10,,,,,,,98,40,,
2,3,34,196,33,163,229,127,102,5,,,,,23,10,,,,,,,104,59,,
2,4,34,215,44,171,295,136,159,1,,,,,28,16,,,,,,,117,54,,
3,1,14,101,25,76,52,25,27,1,,,,,,,,,,,,,,,,
3,2,24,114,30,84,70,51,19,0,,,,,17,13,,,,,,,55,29,,
4,1,16,182,50,132,154,88,66,3,,,,,,,,,,,,,,,,
4,4,30,206,50,156,109,56,53,1,,,,,29,21,,,,,,,118,38,,
4,7,38,173,43,139,85,36,49,1,,,,,30,13,,,,,,,88,42,,
5,2,25,208,54,154,165,81,84,2,,,,,39,15,,,,,,,102,52,,
5,3,30,97,12,85,50,23,27,0,,,,,5,7,,,,,,,63,22,,
5,4,38,120,21,99,65,37,28,0,,,,,12,9,,,,,,,74,25,,
4,3,31,209,50,159,174,101,73,0,,,,,35,15,,,,,,,122,37,,
7,1,17,32,,,6,,,0,,,,,,,,,,,,,,,,
8,1,36,20,,,,,,,,,,,,,,,,,,,,,,
8,2,7,26,4,22,118,53,65,2,,,,,,,3,1,,,,,,,5,17
8,3,29,36,7,29,68,33,35,1,,,,,,,4,3,,,,,,,20,9
8,5,43,20,3,17,80,46,34,0,,,,,,,1,2,,,,,,,3,14
9,1,5,19,3,16,28,13,15,0,,,,,,,,,,,,,,,,
9,2,23,13,3,10,59,23,36,1,,,,,,,1,2,,,,,,,3,7
9,3,28,24,1,23,32,17,15,1,,,,,,,0,1,,,,,,,18,5
9,4,37,31,2,29,32,19,13,1,1,1,0,0,1,1,1,1,2,2,12,13,14,15,4,25
9,5,27,12,0,12,31,11,20,0,,,,,,,0,0,,,,,,,2,10
10,1,9,51,6,45,20,11,9,0,,,,,,,,,,,,,,,,
10,2,22,59,13,46,33,16,17,2,,,,,,,5,8,,,,,,,6,40
10,3,27,53,5,48,26,12,14,2,,,,,,,2,3,,,,,,,8,40
10,4,27,54,9,45,34,13,21,2,2,0,7,0,9,0,2,7,4,4,35,2,39,6,8,37
10,7,27,46,10,36,22,8,14,4,,,,,,,6,4,,,,,,,6,30
11,1,3,6,0,6,379,226,153,1,,,,,,,0,0,,,,,,,1,5
11,2,8,25,3,22,584,345,239,1,,,,,,,2,1,,,,,,,12,10
12,1,7,12,1,11,150,89,61,1,,,,,,,,,,,,,,,,
12,3,7,41,8,33,293,163,130,0,,,,,,,6,2,,,,,,,17,16
13,1,2,59,8,51,213,114,99,1,,,,,,,4,4,,,,,,,19,32
13,2,7,45,6,39,205,113,92,14,,,,,,,3,3,,,,,,,19,20
13,3,8,168,36,132,265,128,137,6,,,,,,,33,3,,,,,,,105,27
13,4,7,45,9,36,184,95,89,2,,,,,2,7,,,,,,,25,11,,
13,5,2,32,6,26,191,99,92,0,,,,,,,5,1,,,,,,,6,20
14,2,2,20,6,14,164,79,85,1,,,,,,,1,5,,,,,,,4,10
14,3,1,22,9,13,127,70,57,0,0,0,6,3,6,3,0,9,1,4,3,5,4,9,5,8
16,1,20,61,4,57,252,136,116,,,,,,,,,,,,,,,,,
16,2,20,42,9,33,232,84,148,1,,,,,,,0,9,,,,,,,4,29
16,3,20,38,5,33,221,71,150,6,,,,,,,1,4,,,,,,,4,29
16,5,20,36,7,29,262,118,144,1,,,,,,,2,5,,,,,,,7,22
17,1,4,39,9,30,233,101,132,0,,,,,,,,,,,,,,,,
17,3,1,22,7,15,176,69,107,5,1,0,3,3,4,3,1,6,0,3,13,8,13,11,3,21
17,4,32,37,6,31,182,81,101,3,0,2,4,0,4,2,2,4,2,3,16,10,18,13,5,26
17,5,45,24,5,19,164,80,84,1,,,,,,,0,5,,,,,,,0,19
17,7,3,27,8,19,251,122,129,2,0,0,6,2,6,2,0,8,1,1,10,7,11,8,2,17
18,1,18,18,3,15,107,58,49,2,,,,,,,,,,,,,,,,
19,4,21,42,11,31,363,177,186,4,1,10,0,0,1,10,11,0,,,,,17,14,28,3
20,1,15,18,1,17,67,34,33,3,,,,,,,1,0,,,,,,,12,5
20,2,15,9,0,9,41,18,23,2,,,,,,,0,0,,,,,,,7,2
20,3,15,20,2,18,42,20,22,2,,,,,,,1,1,,,,,,,13,5
20,4,42,15,4,11,41,17,24,1,2,2,0,0,2,2,4,0,1,6,3,1,4,7,7,4
20,5,44,22,7,15,72,23,49,1,,,,,,,6,1,,,,,,,8,7
21,2,12,30,9,21,189,98,91,1,,,,,,,2,7,,,,,,,7,14
21,3,18,14,6,8,618,364,254,4,,,,,,,2,4,,,,,,,2,6
21,4,1,22,6,16,473,235,238,2,2,0,2,2,4,2,2,4,1,4,5,6,6,10,5,11
22,1,18,8,3,5,90,36,54,0,,,,,,,,,,,,,,,,
23,1,12,15,3,12,23,14,9,1,,,,,,,,,,,,,,,,
23,3,1,18,3,15,10,2,8,0,1,0,2,0,3,0,1,2,1,7,4,3,5,10,8,7
23,4,40,11,1,10,24,9,15,0,1,0,0,0,1,0,0,0,1,7,0,2,1,9,8,2
24,1,1,10,0,10,44,14,30,0,,,,,,,0,0,,,,,,,9,1
24,2,18,7,0,7,75,30,45,4,,,,,,,0,0,,,,,,,7,0
25,2,3,5,1,4,13,6,7,1,,,,,,,0,1,,,,,,,1,3
25,3,3,9,2,7,19,4,15,0,0,0,1,1,1,1,0,2,4,0,2,1,6,1,4,3
25,4,3,16,2,14,35,13,22,0,0,0,2,0,2,0,0,2,1,1,11,1,12,2,2,12
26,3,35,8,1,7,44,16,28,4,,,,,,,0,1,,,,,,,3,4
26,4,40,13,2,11,55,26,29,2,1,0,0,1,1,1,1,1,2,0,4,5,6,5,2,9
27,1,6,13,6,7,104,64,40,2,,,,,,,,,,,,,,,,
28,1,11,26,3,23,22,10,12,0,,,,,,,,,,,,,,,,
28,2,21,24,6,18,37,20,17,0,,,,,,,,,,,,,,,,
28,3,32,16,1,15,18,3,15,0,,,,,,,1,0,,,,,,,8,7
28,5,32,15,3,12,29,13,16,0,,,,,,,3,0,,,,,,,7,5
29,1,10,27,5,22,6,5,1,1,,,,,,,,,,,,,,,,
29,2,26,18,3,15,8,6,2,0,,,,,,,1,2,,,,,,,3,12
29,3,10,25,6,19,16,11,5,0,,,,,,,0,5,,,,,,,3,16
29,5,25,27,5,22,18,10,8,0,,,,,,,2,3,,,,,,,0,22
29,7,25,19,2,17,7,3,4,0,,,,,2,0,,,,,,,11,6,,
30,2,26,9,0,9,5,3,2,0,,,,,,,0,0,,,,,,,9,0
31,2,10,67,11,56,54,35,19,6,,,,,,,6,5,,,,,,,13,43
31,3,10,54,6,48,43,25,18,1,,,,,,,5,1,,,,,,,24,24
31,4,10,70,13,57,30,10,20,5,1,6,6,0,7,6,7,6,13,12,29,3,42,15,25,15
31,5,10,48,7,41,65,33,32,1,,,,,,,5,2,,,,,,,12,29
32,3,12,27,4,23,329,208,121,5,,,,,,,2,2,,,,,,,4,19
32,7,10,69,17,42,52,17,35,1,,,,,8,9,,,,,,,32,10,,
33,3,12,30,5,25,330,208,122,6,,,,,,,3,2,,,,,,,11,14
34,1,21,4,2,2,13,6,7,0,,,,,,,,,,,,,,,,
35,1,17,22,,,2,,,0,,,,,,,,,,,,,,,,
36,1,18,8,2,6,66,31,35,0,,,,,,,,,,,,,,,,
37,1,18,11,0,11,32,17,15,4,,,,,,,,,,,,,,,,
38,1,36,104,,,,,,,,,,,,,,,,,,,,,,
39,1,36,25,,,,,,,,,,,,,,,,,,,,,,
40,1,19,8,,,25,,,1,,,,,,,,,,,,,,,,
41,1,19,15,,,41,,,1,,,,,,,,,,,,,,,,
42,1,19,26,,,74,,,0,,,,,,,,,,,,,,,,
43,1,19,8,,,72,,,0,,,,,,,,,,,,,,,,
44,1,36,9,,,,,,,,,,,,,,,,,,,,,,
44,4,39,31,4,27,78,45,33,0,0,0,4,0,4,0,0,4,1,3,20,3,21,6,4,23
45,1,20,47,10,37,363,185,178,,,,,,,,,,,,,,,,,
46,1,21,43,1,42,150,79,71,,,,,,,,,,,,,,,,,
